energy;tempo;danceability;playlist_genre;loudness;liveness;valence;track_artist;time_signature;speechiness;track_popularity;track_href;track_album_name;playlist_name;track_id;track_name;track_album_release_date;instrumentalness;mode;key;duration_ms;acousticness;playlist_subgenre
592;157969;521;pop;-7777;122;535;Lady Gaga, Bruno Mars;3;304;100;https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe;Die With A Smile;Today's Top Hits;2plbrEY59IikOBgBGLjaoe;Die With A Smile;2024-08-16;0;0;6;251668;308;mainstream
507;104978;747;pop;-10171;117;438;Billie Eilish;4;358;97;https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB;HIT ME HARD AND SOFT;Today's Top Hits;6dOtVTDdiauQNBQEDOtlAB;BIRDS OF A FEATHER;2024-05-17;608;1;2;210373;2;mainstream
808;108548;554;pop;-4169;159;372;Gracie Abrams;4;368;93;https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad;The Secret of Us (Deluxe);Today's Top Hits;7ne4VBA60CxGM75vw0EYad;That’s So True;2024-10-18;0;1;1;166300;214;mainstream
91;112966;67;pop;-407;304;786;Sabrina Carpenter;4;634;81;https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ;Short n' Sweet;Today's Top Hits;1d7Ptw3qYcfpdLNL5REhtJ;Taste;2024-08-23;0;0;0;157280;939;mainstream
783;149027;777;pop;-4477;355;939;ROSÉ, Bruno Mars;4;26;98;https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY;APT.;Today's Top Hits;5vNRhkKd0yEAg8suGBpjeY;APT.;2024-10-18;0;0;0;169917;283;mainstream
582;116712;7;pop;-596;881;785;Chappell Roan;4;356;94;https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu;Good Luck, Babe!;Today's Top Hits;0WbMK4wrZ1wFSty9F7FCgu;Good Luck, Babe!;2024-04-05;0;0;11;218424;502;mainstream
561;150069;669;pop;-6538;954;841;Addison Rae;4;411;88;https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz;Diet Pepsi;Today's Top Hits;6MzofobZt2dm0Kf1hTThFz;Diet Pepsi;2024-08-09;962;1;10;169698;495;mainstream
247;148101;467;pop;-12002;17;126;Billie Eilish;4;431;93;https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h;HIT ME HARD AND SOFT;Today's Top Hits;3QaPy1KgI7nu9FJEQUgn6h;WILDFLOWER;2024-05-17;271;0;6;261467;612;mainstream
416;94926;492;pop;-10439;203;297;Gigi Perez;4;254;71;https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB;Sailor Song;Today's Top Hits;0UYnhUfnUj5adChuAXvLUB;Sailor Song;2024-07-26;0,00861;1;11;211979;686;mainstream
722;119973;769;pop;-5485;111;57;The Weeknd, Playboi Carti;4;507;92;https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL;Timeless;Today's Top Hits;1Es7AUAhQvapIcoh3qMKDL;Timeless (with Playboi Carti);2024-09-27;0,000256;0;11;256000;584;mainstream
667;130019;776;pop;-6622;761;618;Charli xcx, Billie Eilish;4;983;85;https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v;Guess featuring Billie Eilish;Today's Top Hits;3WOhcATHxK2SLNeP5W3v1v;Guess featuring billie eilish;2024-08-01;3;1;7;145219;146;mainstream
586;107071;669;pop;-6073;104;579;Sabrina Carpenter;4;54;88;https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP;Please Please Please;Today's Top Hits;5N3hjp1WNayUPZrA8kJmJP;Please Please Please;2024-06-06;0;1;9;186365;274;mainstream
806;104032;608;pop;-3443;191;587;Tate McRae;4;486;79;https://api.spotify.com/v1/tracks/1f18HzFpegqvH4ibGJyeMJ;2 hands;Today's Top Hits;1f18HzFpegqvH4ibGJyeMJ;2 hands;2024-11-14;0;1;1;181821;121;mainstream
709;81012;722;pop;-495;804;604;Shaboozey;4;273;86;https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf;A Bar Song (Tipsy);Today's Top Hits;2FQrifJ1N335Ljm3TjTVVf;A Bar Song (Tipsy);2024-04-12;0;1;9;171292;633;mainstream
757;139982;742;pop;-4981;305;957;Chappell Roan;4;421;88;https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7;The Rise and Fall of a Midwest Princess;Today's Top Hits;4xdBrk0nFZaP54vvZj0yx7;HOT TO GO!;2023-09-22;0;1;6;184841;187;mainstream
917;100987;562;pop;-2768;488;501;Lady Gaga;4;117;86;https://api.spotify.com/v1/tracks/19KlZwqlT3fguP2BeHF1Q1;Disease;Today's Top Hits;19KlZwqlT3fguP2BeHF1Q1;Disease;2024-10-25;0;0;11;229997;513;mainstream
787;109939;734;pop;-3951;312;672;LISA;4;116;82;https://api.spotify.com/v1/tracks/5G345YEhvleYxQLfYUlEFv;Moonlit Floor (Kiss Me);Today's Top Hits;5G345YEhvleYxQLfYUlEFv;Moonlit Floor (Kiss Me);2024-10-08;0;0;5;155757;126;mainstream
843;122064;619;pop;-5348;164;746;Morgan Wallen;4;284;86;https://api.spotify.com/v1/tracks/7hR22TOX3RorxJPcsz5Wbo;Love Somebody;Today's Top Hits;7hR22TOX3RorxJPcsz5Wbo;Love Somebody;2024-10-18;118;0;5;204829;948;mainstream
406;11594;53;pop;-7507;133;338;Gracie Abrams;3;33;90;https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy;The Secret of Us;Today's Top Hits;51rfRCiUSvxXlCSCfIztBy;I Love You, I'm Sorry;2024-06-21;0;1;10;157147;656;mainstream
782;119992;727;pop;-8529;225;655;Adam Port, Stryv, Keinemusik, Orso, Malachiii;4;42;86;https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4;Move;Today's Top Hits;1BJJbSX6muJVF2AK7uH1x4;Move;2024-06-07;336;0;8;177599;563;mainstream
812;8009;505;pop;-3986;444;664;Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne;4;461;88;https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R;CHROMAKOPIA;Today's Top Hits;3tFed7YsjGnIfxeLEQwx3R;Sticky (feat. GloRilla, Sexyy Red & Lil Wayne);2024-10-28;0;1;1;255916;285;mainstream
76;103969;701;pop;-5478;185;69;Sabrina Carpenter;4;285;90;https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75;Espresso;Today's Top Hits;2qSkIjg1o9h3YT9RAgYN75;Espresso;2024-04-12;0,00654;1;0;175459;107;mainstream
